Price,Close,High,Low,Open,Volume
Ticker,ZENTEC.NS,ZENTEC.NS,ZENTEC.NS,ZENTEC.NS,ZENTEC.NS
Date,,,,,
2015-03-30,53.719974517822266,55.966445434293234,47.85961366133256,47.85961366133256,59509
2015-03-31,54.647865295410156,57.13851789433895,53.71997408869474,55.38041039661963,137591
2015-04-01,54.40367889404297,56.06411505849133,52.88975322754351,56.06411505849133,148767
2015-04-06,62.217498779296875,65.24535413738641,55.185064975312564,55.91761008560432,308258
2015-04-07,67.83366394042969,70.32431991826826,61.533779928484726,62.46167100592296,281312
2015-04-08,68.41969299316406,71.30103313215548,62.90118688366515,68.56619600388808,608437
2015-04-09,77.84510040283203,79.55437180711357,70.76383315652281,70.76383315652281,1390034
2015-04-10,77.35674285888672,80.87296454033543,75.79398180703868,78.72416157369095,432915
2015-04-13,75.45214080810547,77.79628647891819,72.6196317663665,77.79628647891819,206972
2015-04-15,75.5009765625,77.8451146708424,74.18238956176576,75.20795557304054,178758
2015-04-16,72.52197265625,77.60094957871469,71.39873522575255,76.67306200021044,122946
2015-04-17,72.08244323730469,75.06145560607591,70.91036656691024,73.25451245586478,101631
2015-04-20,67.39414978027344,73.254510630732,66.66160467396612,73.15683944025785,82563
2015-04-21,67.14997100830078,71.1057177357054,65.53837021373467,65.53837021373467,84727
2015-04-22,66.80812072753906,69.29876982449066,64.56164590111077,67.58949776798407,112900
2015-04-23,65.73370361328125,70.27547637308334,65.4406826505309,66.90577256061741,121348
2015-04-24,60.45938491821289,67.05229021931082,59.18963721282362,67.05229021931082,113839
2015-04-27,54.452518463134766,61.97331548035651,54.452518463134766,60.94775309753469,68078
2015-04-28,51.76651382446289,52.694404911782804,51.76651382446289,52.694404911782804,211703
2015-04-29,54.35484313964844,54.35484313964844,49.27586348024649,49.32469907077679,193482
2015-04-30,57.04084014892578,57.04084014892578,54.110660080849115,55.38040403183234,140155
2015-05-04,59.87334442138672,59.87334442138672,58.11523715189098,59.824508832828954,139961
2015-05-05,62.85236358642578,62.85236358642578,60.85007453506796,61.92447617364013,143267
2015-05-06,59.72684097290039,65.44069084758391,59.72684097290039,63.48723738944708,178130
2015-05-07,56.74782180786133,61.0454209318288,56.74782180786133,61.0454209318288,48515
2015-05-08,57.480369567871094,59.58033363725592,54.79437092028988,57.67571566924221,107900
2015-05-11,57.3338623046875,59.48266194988638,56.25946061912959,58.60360636405872,77032
2015-05-12,54.94087600708008,58.45709058116656,54.599023157847114,57.62687438964844,37780
2015-05-13,56.064125061035156,57.431540473549795,53.81765022990861,57.431540473549795,48717
2015-05-14,55.57575607299805,57.43153474618244,54.696700467967474,54.74553606248761,52919
2015-05-15,54.40367889404297,56.2106218305235,52.84091391094938,54.79436734537881,141919
2015-05-18,57.08967971801758,57.08967971801758,54.354845542346624,55.18506179581065,64287
2015-05-19,55.96643829345703,59.38498169023262,54.94087601960768,59.287310512119966,74942
2015-05-20,56.01527404785156,57.57803898368313,55.23389344289409,55.67342119753162,47296
2015-05-21,56.405967712402344,56.8454954787213,53.81764043090377,55.087388139362226,30524
2015-05-22,56.405967712402344,57.4803656070338,55.819933174588236,56.74782057180779,36635
2015-05-25,59.189640045166016,59.189640045166016,59.091968859731566,59.189640045166016,75138
2015-05-26,62.11982727050781,62.11982727050781,62.11982727050781,62.11982727050781,13214
2015-05-27,65.19650268554688,65.19650268554688,59.0919612355893,65.19650268554688,523287
2015-05-28,68.41969299316406,68.41969299316406,66.95460327127046,68.41969299316406,185134
2015-05-29,71.83824920654297,71.83824920654297,71.83824920654297,71.83824920654297,19375
2015-06-01,75.40330505371094,75.40330505371094,75.40330505371094,75.40330505371094,19852
2015-06-02,74.57308959960938,79.1637100251681,72.5219648124523,79.1637100251681,1435235
